Time,Heading error,Cross track error
1571250110.424010,0.020000,-0.050000
1571250110.530617,0.020000,-0.150000
1571250110.568992,0.020000,-0.150000
1571250110.671265,-0.020000,-0.050000
1571250110.733136,0.020000,-0.150000
1571250110.754379,0.020000,-0.150000
1571250110.813114,0.020000,-0.150000
1571250110.872117,0.020000,-0.150000
1571250110.911291,0.020000,-0.150000
1571250110.975078,0.020000,-0.150000
1571250111.021000,0.020000,-0.150000
1571250111.141026,0.020000,-0.150000
1571250111.201089,0.020000,-0.150000
1571250111.246250,0.020000,-0.150000
1571250111.303090,0.020000,-0.150000
1571250111.343833,0.000000,-0.050000
1571250111.386278,0.020000,-0.250000
1571250111.414820,0.020000,-0.250000
1571250111.523019,0.020000,-0.250000
1571250111.558401,0.020000,-0.250000
1571250111.639609,0.020000,-0.250000
1571250111.690692,0.020000,-0.050000
1571250111.725272,0.020000,-0.050000
1571250111.758708,0.020000,-0.050000
1571250111.798777,0.020000,-0.050000
1571250111.866479,-0.020000,0.150000
1571250111.914807,-0.020000,0.150000
1571250111.979487,-0.020000,0.250000
1571250112.008001,-0.020000,0.250000
1571250112.055502,-0.020000,0.250000
1571250112.111382,-0.020000,0.250000
1571250112.158849,-0.020000,0.250000
1571250112.221723,0.000000,0.050000
1571250112.275676,0.000000,0.050000
1571250112.352147,0.000000,0.050000
1571250112.387169,0.020000,0.050000
1571250112.440089,0.020000,0.050000
1571250112.518008,0.000000,0.150000
1571250112.552659,0.100000,-0.650000
1571250112.626261,0.100000,-0.650000
1571250112.701495,0.040000,-0.250000
1571250112.740685,0.100000,-0.850000
1571250112.770724,0.140000,-0.950000
1571250112.830507,0.080000,-0.850000
1571250112.909922,0.080000,-0.850000
1571250112.935084,0.080000,-0.950000
1571250113.001432,0.080000,-0.950000
1571250113.065320,0.080000,-0.950000
1571250113.139102,0.080000,-0.950000
1571250113.179795,0.100000,-1.050000
1571250113.226750,0.040000,-0.250000
1571250113.274537,0.020000,-0.150000
1571250113.309940,0.120000,-1.150000
1571250113.367885,0.120000,-1.150000
1571250113.409309,0.100000,-0.850000
1571250113.476204,0.120000,-1.050000
1571250113.520004,0.120000,-1.050000
1571250113.608286,0.140000,-0.850000
1571250113.676709,0.140000,-0.850000
1571250113.715578,0.160000,-0.850000
1571250113.775368,0.140000,-0.750000
1571250113.846835,0.140000,-0.750000
1571250113.897229,0.140000,-0.750000
1571250113.937403,0.140000,-0.750000
1571250113.980859,0.140000,-0.750000
1571250114.026914,0.140000,-0.750000
1571250114.067494,0.120000,-0.750000
1571250114.110989,0.120000,-0.750000
1571250114.161132,0.140000,-0.850000
1571250114.205942,0.140000,-0.850000
1571250114.252718,0.140000,-0.850000
1571250114.299050,0.100000,-0.850000
1571250114.354528,0.100000,-0.850000
1571250114.399631,0.100000,-1.050000
1571250114.447083,0.100000,-1.050000
1571250114.499944,0.100000,-1.050000
1571250114.540835,0.100000,-1.050000
1571250114.576254,0.100000,-1.050000
1571250114.647978,0.060000,-0.850000
1571250114.698654,0.060000,-0.850000
